Date,^DJI(t-1),^DJI(t)
2020-04-02,20943.509765625,21413.439453125
2020-04-03,21413.439453125,21052.529296875
2020-04-06,21052.529296875,22679.990234375
2020-04-07,22679.990234375,22653.859375
2020-04-08,22653.859375,23433.5703125
2020-04-09,23433.5703125,23719.369140625
2020-04-13,23719.369140625,23390.76953125
2020-04-14,23390.76953125,23949.759765625
2020-04-15,23949.759765625,23504.349609375
2020-04-16,23504.349609375,23537.6796875
2020-04-17,23537.6796875,24242.490234375
2020-04-20,24242.490234375,23650.439453125
2020-04-21,23650.439453125,23018.880859375
2020-04-22,23018.880859375,23475.8203125
2020-04-23,23475.8203125,23515.259765625
2020-04-24,23515.259765625,23775.26953125
2020-04-27,23775.26953125,24133.779296875
2020-04-28,24133.779296875,24101.55078125
2020-04-29,24101.55078125,24633.859375
2020-04-30,24633.859375,24345.720703125
2020-05-01,24345.720703125,23723.689453125
2020-05-04,23723.689453125,23749.759765625
2020-05-05,23749.759765625,23883.08984375
2020-05-06,23883.08984375,23664.640625
2020-05-07,23664.640625,23875.890625
2020-05-08,23875.890625,24331.3203125
2020-05-11,24331.3203125,24221.990234375
2020-05-12,24221.990234375,23764.779296875
2020-05-13,23764.779296875,23247.970703125
2020-05-14,23247.970703125,23625.33984375
2020-05-15,23625.33984375,23685.419921875
2020-05-18,23685.419921875,24597.369140625
2020-05-19,24597.369140625,24206.859375
2020-05-20,24206.859375,24575.900390625
2020-05-21,24575.900390625,24474.119140625
2020-05-22,24474.119140625,24465.16015625
2020-05-26,24465.16015625,24995.109375
2020-05-27,24995.109375,25548.26953125
2020-05-28,25548.26953125,25400.640625
2020-05-29,25400.640625,25383.109375
2020-06-01,25383.109375,25475.01953125
2020-06-02,25475.01953125,25742.650390625
2020-06-03,25742.650390625,26269.890625
2020-06-04,26269.890625,26281.8203125
2020-06-05,26281.8203125,27110.98046875
2020-06-08,27110.98046875,27572.439453125
2020-06-09,27572.439453125,27272.30078125
2020-06-10,27272.30078125,26989.990234375
2020-06-11,26989.990234375,25128.169921875
2020-06-12,25128.169921875,25605.5390625
2020-06-15,25605.5390625,25763.16015625
2020-06-16,25763.16015625,26289.98046875
2020-06-17,26289.98046875,26119.609375
2020-06-18,26119.609375,26080.099609375
2020-06-19,26080.099609375,25871.4609375
2020-06-22,25871.4609375,26024.9609375
2020-06-23,26024.9609375,26156.099609375
2020-06-24,26156.099609375,25445.939453125
2020-06-25,25445.939453125,25745.599609375
2020-06-26,25745.599609375,25015.55078125
2020-06-29,25015.55078125,25595.80078125
2020-06-30,25595.80078125,25812.880859375
2020-07-01,25812.880859375,25734.970703125
2020-07-02,25734.970703125,25827.359375
2020-07-06,25827.359375,26287.029296875
2020-07-07,26287.029296875,25890.1796875
2020-07-08,25890.1796875,26067.279296875
2020-07-09,26067.279296875,25706.08984375
2020-07-10,25706.08984375,26075.30078125
2020-07-13,26075.30078125,26085.80078125
2020-07-14,26085.80078125,26642.58984375
2020-07-15,26642.58984375,26870.099609375
2020-07-16,26870.099609375,26734.7109375
2020-07-17,26734.7109375,26671.94921875
2020-07-20,26671.94921875,26680.869140625
2020-07-21,26680.869140625,26840.400390625
2020-07-22,26840.400390625,27005.83984375
