Date,MSFT(t-1),MSFT(t)
2015-06-26,39.73487091064453,39.39540100097656
2015-06-29,39.39540100097656,38.6207160949707
2015-06-30,38.6207160949707,38.429229736328125
2015-07-01,38.429229736328125,38.69035339355469
2015-07-02,38.69035339355469,38.6468505859375
2015-07-06,38.6468505859375,38.638126373291016
2015-07-07,38.638126373291016,38.559791564941406
2015-07-08,38.559791564941406,38.507568359375
2015-07-09,38.507568359375,38.75128936767578
2015-07-10,38.75128936767578,38.82963180541992
2015-07-13,38.82963180541992,39.639122009277344
2015-07-14,39.639122009277344,39.708740234375
2015-07-15,39.708740234375,39.83061981201172
2015-07-16,39.83061981201172,40.61399841308594
2015-07-17,40.61399841308594,40.57918167114258
2015-07-20,40.57918167114258,40.84031677246094
2015-07-21,40.84031677246094,41.1536750793457
2015-07-22,41.1536750793457,39.639122009277344
