pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2022-02-08T11:09:12+0000,The Japanese conglomerate said it would take the chip designer Arm public after an anticipated sale to Nvidia fell through.,"TOKYO — SoftBank announced on Tuesday that it had edged back into profitability, while also confirming that it will seek to take public one of its prize holdings, the chip designer Arm, after the collapse of a hoped-for sale to Nvidia, the Silicon Valley semiconductor manufacturer.","SoftBank returns to profitability, barely, as the tech sector suffers.",article,Business Day,News,5,https://www.nytimes.com/2022/02/08/business/softbank-earnings.html
2022-02-08T02:26:07+0000,"The deal, which was initially valued at $40 billion, encountered regulatory scrutiny, including an F.T.C. lawsuit.","SAN FRANCISCO — Nvidia, the Silicon Valley chip maker, has ended its nearly 18-month effort to buy Arm, which licenses chip technology used in most smartphones.",Nvidia Deal to Buy Arm From SoftBank Is Off After Setbacks,article,Technology,News,9,https://www.nytimes.com/2022/02/07/technology/nvidia-arm-softbank-deal.html
2022-09-01T01:14:31+0000,"Limits were placed on high-end GPUs that power supercomputers and artificial intelligence, said Nvidia and AMD, two Silicon Valley chip makers.","The Biden administration has imposed new restrictions on sales of some sophisticated computer chips to China and Russia, the U.S. government’s latest attempt to use semiconductors as a tool to hobble rivals’ advances in fields such as high-performance computing and artificial intelligence.",U.S. Restricts Sales of Sophisticated Chips to China and Russia,article,Technology,News,4,https://www.nytimes.com/2022/08/31/technology/gpu-chips-china-russia.html
2022-10-27T14:23:31+0000,Demand for semiconductors was off the charts last year. But a sharp slowdown coupled with new U.S. restrictions against China have created obstacles.,"A few months ago, makers of computer chips seemed on top of the world.","Chip Makers, Once in High Demand, Confront Sudden Challenges",article,Technology,News,14,https://www.nytimes.com/2022/10/27/technology/chip-makers-challenges.html
2022-10-03T18:01:43+0000,The new rules could be the most sweeping action taken yet by the Biden administration to thwart China’s access to American technology that powers data centers and supercomputers.,"The Biden administration is expected to announce new measures to restrict Chinese companies from getting access to technologies that enable high-performance computing, according to several people familiar with the matter, the latest in a series of moves aimed at hobbling Beijing’s ambitions to craft next-generation weapons and automate large-scale surveillance systems.",U.S. Said to Plan New Limits on China’s A.I. and Supercomputing Firms,article,Business Day,News,11,https://www.nytimes.com/2022/10/03/business/us-limits-chinas-supercomputing.html
2023-08-28T23:25:25+0000,"The leaders of Google, OpenAI, Microsoft and others are meeting with lawmakers on Sept. 13 to kick off listening sessions that may shape A.I. rules in the United States.","Senator Chuck Schumer, Democrat of New York, plans to kick off a series of listening sessions next month on the regulation of artificial intelligence with Elon Musk of Tesla, Sundar Pichai of Google, Sam Altman of OpenAI and Satya Nadella of Microsoft.",Tech Chiefs to Gather in Washington Next Month on A.I. Regulations,article,Technology,News,7,https://www.nytimes.com/2023/08/28/technology/tech-ai-regulations-listening-session-lawmakers.html
2023-08-05T09:00:38+0000,"As the tech giants found their financial footing last quarter, they doubled down on artificial intelligence, which has been a boon to companies like Nvidia.","A year ago, the tech industry’s prospects looked bleak. Google’s profit dropped. Shares of Facebook’s parent company, Meta, were in free fall. Business growth at Amazon had slowed to its lowest level in two decades.",Big Tech Rebounds and Preps for Transformative A.I. Investments,article,Technology,News,10,https://www.nytimes.com/2023/08/05/technology/tech-nvidia-chips.html
2023-08-04T09:01:01+0000,"At 92, Morris Chang, the founder of Taiwan Semiconductor Manufacturing Company, can no longer stay in the shadows.","In a wood-paneled office overlooking Taipei and the jungle-covered mountains that surround the Taiwanese capital, Morris Chang recently pulled out an old book stamped with technicolor patterns.",The Chip Titan Whose Life’s Work Is at the Center of a Tech Cold War,article,Technology,News,16,https://www.nytimes.com/2023/08/04/technology/the-chip-titan-whose-lifes-work-is-at-the-center-of-a-tech-cold-war.html
2023-08-16T09:00:35+0000,"To power artificial-intelligence products, start-ups and investors are taking extraordinary measures to obtain critical chips known as graphics processing units, or GPUs.","For the past year, Jean Paoli, chief executive of the artificial intelligence start-up Docugami, has been scrounging for what has become the hottest commodity in tech: computer chips.",The Desperate Hunt for the A.I. Boom’s Most Indispensable Prize,article,Technology,News,9,https://www.nytimes.com/2023/08/16/technology/ai-gpu-chips-shortage.html
2023-08-18T11:55:07+0000,"Apple, Nvidia, Tesla and Microsoft are among the giants that have tumbled by at least 10 percent in the past month after powering a market rally earlier this year.","In the span of a month, the bottom has dropped out of the bull-market rally as investors have come to grips with the prospect of “higher for longer” interest rates worldwide. The sell-off in global stocks and bonds picked up steam on Thursday. And weary market watchers will be looking for more hints on the Fed’s view at next week’s Jackson Hole summit of central bankers and policymakers.",Interest Rate Jitters Sink the Heavyweights of Tech,article,Business Day,News,8,https://www.nytimes.com/2023/08/18/business/interest-rates-markets-tech-slump.html
2023-08-21T22:25:14+0000,"The I.P.O. filing means Arm can begin to gauge investor interest, which will be critical to the share sale.","Arm, the chip design company owned by SoftBank, filed for an initial public offering on the Nasdaq exchange on Monday, in what is expected to be one of the largest I.P.O.s in recent years.","Arm, the Chip Designer, Files for an I.P.O. Expected to Be Among the Largest",article,Technology,News,9,https://www.nytimes.com/2023/08/21/technology/chip-designer-arm-ipo-softbank.html
2023-08-23T20:47:57+0000,"Sales for the current quarter will nearly triple their total a year ago, said the company, which makes chips essential to the development of A.I. systems.","In a sign that the tech industry’s next big boom is picking up steam, Nvidia on Wednesday predicted rapid growth in the already rabid demand for the chips it makes to build artificial intelligence systems.","Nvidia Revenue Doubles on Demand for A.I. Chips, and Could Go Higher",article,Technology,News,1,https://www.nytimes.com/2023/08/23/technology/nvidia-earnings-chips.html
2023-08-21T13:00:20+0000,"The most visible winner of the artificial intelligence boom achieved its dominance by becoming a one-stop shop for A.I. development, from chips to software to other services.","Naveen Rao, a neuroscientist turned tech entrepreneur, once tried to compete with Nvidia, the world’s leading maker of chips tailored for artificial intelligence.",How Nvidia Built a Competitive Moat Around A.I. Chips,article,Technology,News,7,https://www.nytimes.com/2023/08/21/technology/nvidia-ai-chips-gpu.html
2023-09-29T04:01:07+0000,"Company leaders use the word “moat” a lot. That can sometimes invite regulatory scrutiny, as it did with Amazon, which was sued this week.",Nvidia has been hailed by Wall Street for the “moat” it has built around its chips to power artificial intelligence systems. Starbucks wants to retain its moat in China.,What C.E.O.s Mean When They Talk About ‘Moats’,article,Business Day,News,6,https://www.nytimes.com/2023/09/29/business/what-is-a-moat.html
2023-09-28T11:45:54+0000,"The S&P 500 is trading at a three-month low as surging oil prices, rising bond yields and concerns about economic growth send investors to the exits.","Stocks are heading for their worst month of the year as a triple whammy of soaring bond yields, rising oil prices and slowing growth trigger a widespread sell-off, even in once-loved mega-cap tech companies.",What’s Driving the September Stock Swoon,article,Business Day,News,12,https://www.nytimes.com/2023/09/28/business/dealbook/september-stock-swoon.html
2023-09-14T12:15:06+0000,"The chip designer will begin trading on Thursday, in the biggest listing of the year. Investors hope it will rejuvenate demand for new stock offerings.","All eyes are on Arm Thursday as the chip designer prepares to begin trading on the Nasdaq in the biggest initial public offering of the year. The company priced its shares on Wendesday at $51 each, the top end of its range, valuing it at about $54.5 billion.",Arm’s I.P.O. Delivers a Big Test for the Markets,article,Business Day,News,8,https://www.nytimes.com/2023/09/14/business/dealbook/arm-ipo-markets.html
2023-09-07T21:30:49+0000,The effort by Senators Richard Blumenthal and Josh Hawley is the latest move by lawmakers to catch up with the rapidly evolving technology.,"Senator Richard Blumenthal, Democrat of Connecticut, and Senator Josh Hawley, Republican of Missouri, plan to announce a sweeping framework to regulate artificial intelligence, in the latest effort by Congress to catch up with the technology.",2 Senators Propose Bipartisan Framework for A.I. Laws,article,Technology,News,8,https://www.nytimes.com/2023/09/07/technology/artificial-intelligence-framework-senate.html
2023-12-22T12:46:06+0000,Investors await Friday’s inflation report for clues on what the Fed will do next on rates. But it is not the only data point Wall Street is watching.,"The final big test of the year for investors is set to arrive on Friday with the release at 8:30 a.m. Eastern of the Personal Consumption Expenditures report, the Fed’s preferred inflation gauge.",The Eye-Popping Numbers Driving the Markets,article,Business Day,News,11,https://www.nytimes.com/2023/12/22/business/dealbook/inflation-interest-rates-fed-stock-market.html
2023-12-27T12:53:28+0000,"If 2023 was the year of A.I. awakening, 2024 could be the year of A.I. reckoning.","Mustafa Suleyman remembers the epochal moment he grasped artificial intelligence’s potential. It was 2016 — Paleolithic times by A.I. standards — and DeepMind, the company he had co-founded that was acquired by Google in 2014, had pitted its A.I. machine, AlphaGo, against a world champion of Go, the confoundingly difficult strategy game. AlphaGo zipped through thousands of permutations, making fast work of the hapless human. Stunned, Suleyman realized the machine had “seemingly superhuman insights,” he says in his  book on A.I., “The Coming Wave.”",What’s Next in Artificial Intelligence?,article,Business Day,News,14,https://www.nytimes.com/2023/12/27/business/dealbook/artificial-intelligence-investment-laws.html
2023-05-22T09:00:32+0000,"What is a menopause-friendly workplace? Women in cities like New York may soon find out, as U.S. companies adopt practices that were already spreading in Britain.","In the last few years, managers at Nvidia, the global computer graphics company, began hearing a new kind of complaint: Some of their female employees were struggling with hot flashes, fatigue and brain fog — common symptoms of the menopause transition — and their regular doctors weren’t offering guidance or relief.",A Movement to Make Workplaces ‘Menopause Friendly’,article,New York,News,9,https://www.nytimes.com/2023/05/22/nyregion/menopause-women-work.html
