pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2022-01-18,U.S. antitrust leaders said they would focus on the tech industry’s free services as they strengthened the review process for corporate consolidation.,"WASHINGTON — Top federal antitrust officials on Tuesday announced a review of how they approve mergers and acquisitions, in a broad effort to strengthen enforcement and clamp down on a surge of corporate consolidation, particularly in high tech.",Regulators aim to rewrite rules for big mergers.,article,Technology,News,11,https://www.nytimes.com/2022/01/18/technology/regulators-aim-to-rewrite-rules-for-big-mergers.html
2022-01-12,"For many Americans, it has become hard to imagine online shopping without Prime.",This article is part of the On Tech newsletter. Here is a collection of past columns.,Amazon Prime: Loved at Almost Any Price,article,Technology,News,4,https://www.nytimes.com/2022/01/12/technology/amazon-prime-price.html
2022-01-21,"Most autistic characters have been played onscreen by neurotypical actors. A new series bucks the trend, starring three leads who are on the spectrum.","In the new Amazon series “As We See It,” Violet, a 25-year-old cashier at Arby’s, desperately wants a boyfriend, but she is looking for love in all the wrong places (namely, Arby’s). Violet’s needs are simple. She wants someone cute, someone to go on fun dates with. Most of all, she wants someone normal.",‘As We See It’ Is Not a Typical Portrayal of Autism,article,Arts,News,6,https://www.nytimes.com/2022/01/21/arts/television/as-we-see-it-amazon-autism.html
2022-01-03,"Cloud computing is slowly changing how Wall Street banks handle their business, but concerns with security remain.","Michael W. Lucas made big plans to take a trip around the world in March 2020. He arranged to travel from his home in Detroit to Tokyo, then attend conferences in Hong Kong and Bangalore, India, before making a final stop in Paris.",Banks Tiptoe Toward Their Cloud-Based Future,article,Business Day,News,5,https://www.nytimes.com/2022/01/03/business/wall-street-cloud-computing.html
2022-01-13,Companies must now decide whether to proceed with planned mandates without cover from the federal government.,"A requirement that large companies mandate vaccines or weekly testing for workers was blocked by the Supreme Court on Thursday, leaving the often fraught choice up to employers. ",Businesses are whipsawed again as the Supreme Court blocks OSHA’s vaccine mandate.,article,Business Day,News,5,https://www.nytimes.com/2022/01/13/business/osha-vaccine-mandate-businesses.html
2022-01-11,The National Labor Relations Board has scheduled a mail-in election to start Feb. 4 for workers in Alabama after throwing out the results of a vote last year.,"Amazon workers in Alabama will have another shot at voting to form a union this winter, as the National Labor Relations Board scheduled a mail-in election to start Feb. 4.",A timeline is set for a new unionization vote at an Amazon warehouse.,article,Technology,News,1,https://www.nytimes.com/2022/01/11/technology/amazon-union-vote-alabama.html
2022-01-18,The company has big plans to turn its delivery fleet green. But very few of the vehicles are made right now.,"In the fall, Jeff Bezos tweeted praise for Rivian, a start-up under contract to make 100,000 electric delivery vans for Amazon, and its founder, R.J. Scaringe, calling him “one of the greatest entrepreneurs I’ve ever met.”",Can Anyone Satisfy Amazon’s Craving for Electric Vans?,article,Technology,News,7,https://www.nytimes.com/2022/01/18/technology/amazon-electric-vans.html
2022-01-13,"The S&P 500 fell 1.4 percent, while the Nasdaq composite slid 2.5 percent, losses that wiped out gains made by both benchmarks over the past two days.","Stocks tumbled on Thursday in a late sell-off led by shares of technology companies, ending two days of relative calm on Wall Street.",Stocks drop as turbulence continues on Wall Street.,article,Business Day,News,3,https://www.nytimes.com/2022/01/13/business/us-stock-market-today.html
2022-04-29,Readers discuss whether a high school coach had the right to kneel and pray after games. Also: Genocide in Ukraine; Amazon’s response; Republican lies.,To the Editor:,Prayer on a School Football Field: Awaiting a Supreme Court Ruling,article,Opinion,Letter,10,https://www.nytimes.com/2022/04/29/opinion/letters/supreme-court-school-prayer.html
2022-04-20,A debate on how unions build power today and whether politicians — particularly Democrats — are still behind them.,"From Amazon and Starbucks to large media companies, unionization has become a siren call for workers — white- and blue-collar — fighting for rights and fair wages. But in 2022, after two years of a pandemic, how have our ideas about unions changed? And are Democrats, the so-called party of the unions, still allies in the fight for workers’ rights?","From Amazon to Starbucks, America Is Unionizing. Will Politics Catch Up?",article,Opinion,Op-Ed,7,https://www.nytimes.com/2022/04/20/opinion/amazon-starbucks-unions-the-argument.html
