pub_date,abstract,lead_para,headline,doc_type,section_name,type_of_material,rank,web_url
2018-09-17T00:01:26+0000,"The storied weekly spent less than a year as part of the Iowa-based Meredith Corporation. Its new owners, Mr. Benioff and his wife, are buying it for $190 million.","Time, the pre-eminent weekly newsmagazine of the 20th century, will have new owners: Marc Benioff, the billionaire co-founder of the software company Salesforce, and his wife, Lynne.","Time Magazine Is Bought by Marc Benioff, Salesforce Billionaire",article,Business Day,News,1,https://www.nytimes.com/2018/09/16/business/dealbook/time-magazine-salesforce-marc-benioff.html
2018-09-17T13:04:54+0000,"While having a massage late Sunday, the West Coast-based tech billionaire discussed via text message why he was entering the East Coast-based media industry by acquiring Time Inc.’s flagship publication.","Marc Benioff, the chief executive of the software company Salesforce, and his wife, Lynne, said on Sunday that they had agreed to buy Time magazine from Meredith Corporation for $190 million in cash.",Marc Benioff Explains Why He Is Buying Time Magazine,article,Technology,News,9,https://www.nytimes.com/2018/09/17/technology/marc-benioff-time-magazine-meredith.html
2018-09-18T23:56:31+0000,The decision by the Salesforce chief executive Marc Benioff to buy Time magazine raises the question of the duty that executives have to the companies that made them rich.,"If Time magazine runs another cover in a series of illustrations showing President Trump’s Oval Office taking on water, employees and shareholders of Salesforce might want to brace for a tweetstorm from the White House — or even calls for regulation of the software company.",When an Owner’s New Company Puts the Old One in Trump’s Cross Hairs,article,Business Day,News,4,https://www.nytimes.com/2018/09/18/business/dealbook/benioff-time-trump.html
2018-09-19T14:43:42+0000,"Marc Benioff has bought Time, becoming the latest technology mogul to invest in a media property. ","“This is a start-up,” Marc Benioff told me loudly over FaceTime, leaning in and out of the frame on a bumpy ride to the airport. “They have been opportunity constrained,” he said, “but we are here to unshackle them.”",Can the People Who Almost Brought Down the News Business Save It?,article,Opinion,Op-Ed,5,https://www.nytimes.com/2018/09/19/opinion/marc-benioff-time-bezos-amazon.html
2018-02-07T10:00:05+0000,"Ken Frazier, Katrina Lake and Marc Benioff will be interviewed for our relaunch of Corner Office. Submit a question for them.","The Reader Center is one way we in the newsroom are trying to connect with you, by highlighting your perspectives and experiences and offering insight into how we work.",They’re 3 of the U.S.’ Most Innovative C.E.O.s: Ask Them Anything,article,Reader Center,News,2,https://www.nytimes.com/2018/02/07/reader-center/corner-office.html
2018-02-20T19:39:36+0000,"Salesforce Chairman and C.E.O. Marc Benioff, speaking at The New York Times’s 2018 New Work Summit, called on leaders to stay involved in guiding the technology their companies create.","Salesforce Chairman and C.E.O. Marc Benioff, speaking at The New York Times’s 2018 New Work Summit, called on leaders to stay involved in guiding the technology their companies create.",Marc Benioff on Technology and Trust,multimedia,Admin,Video,,https://www.nytimes.com/video/admin/100000005753014/marc-benioff-on-technology-and-trust.html
2018-12-29T16:00:05+0000,"How privacy, security and employee protests will shape the year ahead for Silicon Valley. ","If you thought 2018 was a bad year for tech, 2019 might turn out to be even worse. This year was filled with revelations about privacy, security and cyberwarfare. Next year, the consequences of those revelations will unfold. And we should be very worried about what the future holds. ",The 3 Biggest Challenges for Tech in 2019,article,Opinion,Op-Ed,15,https://www.nytimes.com/2018/12/29/opinion/tech-2018-trends-2019-predictions.html
2018-06-15T09:00:08+0000,"A billionaire tech mogul with a spiritual side, Mr. Benioff riffs on his early days at Apple and Oracle, and what’s wrong with Facebook. ","Salesforce may not be a household name like Facebook or Twitter, but the software company and its chief executive, Marc Benioff, are hugely influential forces in the technology industry. ",Marc Benioff of Salesforce: ‘Are We Not All Connected?’,article,Business Day,News,4,https://www.nytimes.com/2018/06/15/business/marc-benioff-salesforce-corner-office.html
2018-11-07T07:20:18+0000,"The city’s tech elites were divided over the initiative, which is seen as an effort to hold their companies accountable for exacerbating the local housing crisis.","SAN FRANCISCO — Voters in San Francisco approved a tax increase on the city’s largest businesses that would nearly double its budget for homeless services, a measure seen as an effort to hold wealthy technology companies accountable for exacerbating the local housing crisis.",San Francisco Approves Business Tax to Fund Homeless Services,article,Technology,News,5,https://www.nytimes.com/2018/11/07/technology/san-francisco-business-tax-homeless.html
2018-11-29T00:31:02+0000,"I interview C.E.O.s for the business section, and we often end up on the topic of meditation.","Times Insider delivers behind-the-scenes insights into how news, features and opinion come together at The New York Times.",Talking Mindfulness on the C.E.O. Beat,article,Reader Center,News,,https://www.nytimes.com/2018/11/28/reader-center/ceos-mindfulness-meditation.html
2018-10-24T19:01:11+0000,"By supporting a modest tax increase, companies in San Francisco can help end the city’s homelessness crisis. ","Back when I was in business school in the 1980s, I was taught — as were generations of aspiring entrepreneurs and executives — that the business of business is business. “There is one and only one social responsibility of business,” the economist Milton Friedman famously wrote in “Capitalism and Freedom”: “to increase its profits.” In an essay for this newspaper in 1970, Dr. Friedman went further, arguing that executives who claim that companies have “responsibilities for providing employment, eliminating discrimination, avoiding pollution and whatever else may be the catchwords” of the day are guilty of “undermining the basis of a free society.” ",The Social Responsibility of Business,article,Opinion,Op-Ed,3,https://www.nytimes.com/2018/10/24/opinion/business-social-responsibility-proposition-c.html
