Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,,
2017-08-08,22085.33984375,22085.33984375,22179.109375,22057.2890625,22095.140625,262000000
2017-08-09,22048.69921875,22048.69921875,22057.189453125,21996.689453125,22022.33984375,277800000
2017-08-10,21844.009765625,21844.009765625,21988.19921875,21843.939453125,21988.19921875,303310000
2017-08-11,21858.3203125,21858.3203125,21911.08984375,21842.740234375,21883.3203125,237790000
2017-08-14,21993.7109375,21993.7109375,22019.23046875,21945.640625,21945.640625,235030000
2017-08-15,21998.990234375,21998.990234375,22038.919921875,21971.48046875,22029.91015625,269070000
2017-08-16,22024.869140625,22024.869140625,22085.7109375,22002.470703125,22031.9296875,264920000
2017-08-17,21750.73046875,21750.73046875,21984.740234375,21750.3203125,21984.740234375,311030000
2017-08-18,21674.509765625,21674.509765625,21793.349609375,21641.630859375,21724.880859375,309070000
2017-08-21,21703.75,21703.75,21718.740234375,21600.33984375,21671.359375,277880000
2017-08-22,21899.890625,21899.890625,21912.830078125,21738.130859375,21739.779296875,244980000
2017-08-23,21812.08984375,21812.08984375,21866.66015625,21808.390625,21850.26953125,234810000
2017-08-24,21783.400390625,21783.400390625,21870.109375,21765.8203125,21839.900390625,228480000
2017-08-25,21813.669921875,21813.669921875,21906.859375,21812.810546875,21819.080078125,217570000
2017-08-28,21808.400390625,21808.400390625,21861.490234375,21767.939453125,21832.5,218740000
2017-08-29,21865.369140625,21865.369140625,21879.220703125,21673.580078125,21718.0,227340000
2017-08-30,21892.4296875,21892.4296875,21914.259765625,21839.470703125,21859.759765625,242840000
2017-08-31,21948.099609375,21948.099609375,21985.759765625,21910.5,21936.009765625,376790000
2017-09-01,21987.560546875,21987.560546875,22038.970703125,21974.91015625,21981.76953125,256240000
2017-09-05,21753.310546875,21753.310546875,21921.08984375,21709.630859375,21912.369140625,332840000
2017-09-06,21807.640625,21807.640625,21849.240234375,21794.0703125,21815.759765625,318760000
2017-09-07,21784.779296875,21784.779296875,21850.009765625,21745.7109375,21820.380859375,333810000
2017-09-08,21797.7890625,21797.7890625,21846.630859375,21731.119140625,21764.4296875,289400000
2017-09-11,22057.369140625,22057.369140625,22067.099609375,21927.7890625,21927.7890625,312770000
2017-09-12,22118.859375,22118.859375,22134.5703125,22087.08984375,22090.560546875,364580000
2017-09-13,22158.1796875,22158.1796875,22158.1796875,22095.7890625,22103.470703125,291890000
2017-09-14,22203.48046875,22203.48046875,22216.439453125,22135.259765625,22144.9609375,297780000
2017-09-15,22268.33984375,22268.33984375,22275.01953125,22214.51953125,22252.439453125,527540000
2017-09-18,22331.349609375,22331.349609375,22355.619140625,22283.349609375,22297.919921875,302740000
2017-09-19,22370.80078125,22370.80078125,22386.009765625,22340.7109375,22349.69921875,295570000
2017-09-20,22412.58984375,22412.58984375,22413.259765625,22314.6796875,22351.380859375,334560000
2017-09-21,22359.23046875,22359.23046875,22419.509765625,22356.55078125,22414.01953125,287390000
2017-09-22,22349.58984375,22349.58984375,22364.310546875,22299.580078125,22334.0703125,297140000
2017-09-25,22296.08984375,22296.08984375,22359.880859375,22219.109375,22320.470703125,332430000
2017-09-26,22284.3203125,22284.3203125,22369.349609375,22279.51953125,22322.029296875,285990000
2017-09-27,22340.7109375,22340.7109375,22371.099609375,22254.9296875,22330.9296875,342900000
2017-09-28,22381.19921875,22381.19921875,22394.740234375,22288.970703125,22306.830078125,263010000
2017-09-29,22405.08984375,22405.08984375,22405.630859375,22332.9609375,22358.470703125,274790000
2017-10-02,22557.599609375,22557.599609375,22559.380859375,22416.0,22423.470703125,268530000
2017-10-03,22641.669921875,22641.669921875,22646.3203125,22562.900390625,22564.44921875,238830000
2017-10-04,22661.640625,22661.640625,22685.939453125,22632.80078125,22645.669921875,235730000
2017-10-05,22775.390625,22775.390625,22777.0390625,22655.140625,22669.080078125,246400000
2017-10-06,22773.669921875,22773.669921875,22773.669921875,22730.849609375,22762.029296875,221450000
2017-10-09,22761.0703125,22761.0703125,22803.369140625,22739.380859375,22779.73046875,310770000
2017-10-10,22830.6796875,22830.6796875,22850.509765625,22770.990234375,22784.759765625,319270000
2017-10-11,22872.890625,22872.890625,22872.890625,22821.66015625,22827.650390625,316000000
2017-10-12,22841.009765625,22841.009765625,22884.8203125,22821.130859375,22854.849609375,291790000
2017-10-13,22871.720703125,22871.720703125,22905.330078125,22855.9296875,22876.4296875,259560000
2017-10-16,22956.9609375,22956.9609375,22960.119140625,22887.119140625,22892.919921875,247180000
2017-10-17,22997.439453125,22997.439453125,23002.19921875,22948.23046875,22952.41015625,273090000
2017-10-18,23157.599609375,23157.599609375,23172.9296875,23086.75,23087.130859375,271870000
2017-10-19,23163.0390625,23163.0390625,23167.240234375,23052.669921875,23107.470703125,350400000
2017-10-20,23328.630859375,23328.630859375,23328.83984375,23201.779296875,23205.1796875,474380000
2017-10-23,23273.9609375,23273.9609375,23368.369140625,23273.9609375,23348.94921875,456830000
2017-10-24,23441.759765625,23441.759765625,23485.25,23343.23046875,23346.779296875,406850000
2017-10-25,23329.4609375,23329.4609375,23451.509765625,23251.109375,23431.08984375,399560000
2017-10-26,23400.859375,23400.859375,23459.83984375,23380.890625,23380.890625,370600000
2017-10-27,23434.189453125,23434.189453125,23449.400390625,23353.16015625,23419.16015625,518870000
2017-10-30,23348.740234375,23348.740234375,23428.75,23327.869140625,23405.75,436900000
2017-10-31,23377.240234375,23377.240234375,23406.349609375,23334.390625,23369.220703125,388050000
2017-11-01,23435.009765625,23435.009765625,23517.7109375,23388.91015625,23442.900390625,361260000
2017-11-02,23516.259765625,23516.259765625,23531.380859375,23350.98046875,23463.240234375,348040000
2017-11-03,23539.189453125,23539.189453125,23557.060546875,23481.5703125,23549.58984375,312250000
2017-11-06,23548.419921875,23548.419921875,23574.859375,23520.75,23533.9609375,325190000
2017-11-07,23557.23046875,23557.23046875,23602.119140625,23484.189453125,23574.029296875,285080000
2017-11-08,23563.359375,23563.359375,23575.0,23510.560546875,23542.599609375,264670000
2017-11-09,23461.939453125,23461.939453125,23516.740234375,23310.01953125,23492.08984375,305440000
